144.9193412 -37.79963866 --> Census year: 2018 || Block ID: 502 || Property ID: 105221 || Base property ID: 105221 || CLUE small area: West Melbourne (Industrial) || Trading name: Vacant || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9193412 || y coordinate: -37.79963866 || Location: (-37.79963866, 144.9193412) || 
144.9193412 -37.79963866 --> Census year: 2018 || Block ID: 502 || Property ID: 105221 || Base property ID: 105221 || CLUE small area: West Melbourne (Industrial) || Trading name: Clamms Seafood || Industry (ANZSIC4) code: 3604 || Industry (ANZSIC4) description: Fish and Seafood Wholesaling || x coordinate: 144.9193412 || y coordinate: -37.79963866 || Location: (-37.79963866, 144.9193412) || 
144.9193412 -37.79963866 --> Census year: 2018 || Block ID: 502 || Property ID: 105221 || Base property ID: 105221 || CLUE small area: West Melbourne (Industrial) || Trading name: Vrises Holdings Pty Ltd || Industry (ANZSIC4) code: 3604 || Industry (ANZSIC4) description: Fish and Seafood Wholesaling || x coordinate: 144.9193412 || y coordinate: -37.79963866 || Location: (-37.79963866, 144.9193412) || 
144.9193412 -37.79963866 --> Census year: 2018 || Block ID: 502 || Property ID: 105221 || Base property ID: 105221 || CLUE small area: West Melbourne (Industrial) || Trading name: Melbourne Seafood Centre || Industry (ANZSIC4) code: 3604 || Industry (ANZSIC4) description: Fish and Seafood Wholesaling || x coordinate: 144.9193412 || y coordinate: -37.79963866 || Location: (-37.79963866, 144.9193412) || 
144.9193412 -37.79963866 --> Census year: 2018 || Block ID: 502 || Property ID: 105221 || Base property ID: 105221 || CLUE small area: West Melbourne (Industrial) || Trading name: S & J Seafood Supply No 2 Pty Ltd || Industry (ANZSIC4) code: 3604 || Industry (ANZSIC4) description: Fish and Seafood Wholesaling || x coordinate: 144.9193412 || y coordinate: -37.79963866 || Location: (-37.79963866, 144.9193412) || 
144.9193412 -37.79963866 --> Census year: 2018 || Block ID: 502 || Property ID: 105221 || Base property ID: 105221 || CLUE small area: West Melbourne (Industrial) || Trading name: Aquabest || Industry (ANZSIC4) code: 3604 || Industry (ANZSIC4) description: Fish and Seafood Wholesaling || x coordinate: 144.9193412 || y coordinate: -37.79963866 || Location: (-37.79963866, 144.9193412) || 
144.9193412 -37.79963866 --> Census year: 2018 || Block ID: 502 || Property ID: 105221 || Base property ID: 105221 || CLUE small area: West Melbourne (Industrial) || Trading name: Konshell Pty Ltd || Industry (ANZSIC4) code: 3604 || Industry (ANZSIC4) description: Fish and Seafood Wholesaling || x coordinate: 144.9193412 || y coordinate: -37.79963866 || Location: (-37.79963866, 144.9193412) || 
144.9193412 -37.79963866 --> Census year: 2018 || Block ID: 502 || Property ID: 105221 || Base property ID: 105221 || CLUE small area: West Melbourne (Industrial) || Trading name: Sea Merchant Seafood || Industry (ANZSIC4) code: 3604 || Industry (ANZSIC4) description: Fish and Seafood Wholesaling || x coordinate: 144.9193412 || y coordinate: -37.79963866 || Location: (-37.79963866, 144.9193412) || 
144.9193412 -37.79963866 --> Census year: 2018 || Block ID: 502 || Property ID: 105221 || Base property ID: 105221 || CLUE small area: West Melbourne (Industrial) || Trading name: Okim Seafoods || Industry (ANZSIC4) code: 3604 || Industry (ANZSIC4) description: Fish and Seafood Wholesaling || x coordinate: 144.9193412 || y coordinate: -37.79963866 || Location: (-37.79963866, 144.9193412) || 
144.9193412 -37.79963866 --> Census year: 2018 || Block ID: 502 || Property ID: 105221 || Base property ID: 105221 || CLUE small area: West Melbourne (Industrial) || Trading name: Bellco Fresh Fish || Industry (ANZSIC4) code: 3604 || Industry (ANZSIC4) description: Fish and Seafood Wholesaling || x coordinate: 144.9193412 || y coordinate: -37.79963866 || Location: (-37.79963866, 144.9193412) || 

